param m := 12;
param n := 18;
param s := 1 219 2 229 3 236 4 229 5 226 6 222 7 203 8 181 9 241 10 270 11 279 12 270 ;
param d := 1 69 2 66 3 67 4 66 5 78 6 93 7 73 8 75 9 98 10 86 11 98 12 65 13 99 14 62 15 71 16 99 17 65 18 94 ;
param f := 1 522 2 684 3 732 4 775 5 715 6 526 7 803 8 900 9 863 10 584 11 601 12 690 ;
param c : 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  :=
          1 8  20  33  7  10  12  11  14  27  24  9  21  24  17  34  24  24  14  
          2 27  7  35  16  33  25  22  25  15  30  22  32  10  6  15  20  29  31  
          3 14  6  13  33  19  7  17  13  15  8  17  31  25  6  13  15  20  32  
          4 6  15  14  33  20  5  34  21  6  32  24  23  31  19  6  19  8  30  
          5 27  8  18  18  10  33  33  20  15  5  30  8  34  7  24  29  25  23  
          6 10  19  12  23  23  12  16  13  17  20  16  34  8  26  8  31  18  31  
          7 30  29  16  17  18  32  24  32  33  16  33  19  6  29  25  10  16  31  
          8 8  14  34  8  26  32  24  11  12  10  7  20  6  28  8  20  22  35  
          9 26  23  27  18  29  30  11  34  17  9  32  24  32  26  33  21  28  15  
          10 19  29  11  29  29  19  31  18  17  25  27  8  5  32  21  6  25  15  
          11 27  34  18  15  31  12  23  11  19  20  32  18  19  17  30  22  24  7  
          12 13  28  24  15  27  9  31  20  8  18  15  22  25  11  33  10  33  10  ;
end;
